Where,What,Description,Link,,
Globally,NGO,Business with the UN,https://business.un.org,,
Globally,Industry,CoFoundersLab,https://cofounderslab.com,find a partner to start a business,
Globally,Industry,DELL EMC,https://www.emc.com,,
Germany,Incubator,Gruenderszene,http://www.gruenderszene.de/finanzen/inkubatoren-deutschland,List of incubators,
Germany,Startups,deutsch startups,https://www.deutsche-startups.de,news,****
USA,Industry,civil,https://www.civisanalytics.com/,civic analytics,
USA,Industry,Digital Globe,https://www.digitalglobe.com/,remote sensing,
UK,Industry,1Spatial,https://1spatial.com/,GIS & RS,
USA,Industry,OmniEarth,http://www.omniearth.net,RS,
USA,Industry,Hexagon Geospatial,http://www.hexagongeospatial.com/,,
Australia,Industry,Geoimage,http://www.geoimage.com.au/,RS,
